part,Description,qty,
MMZ1608B471CTAH0,FERRITE BEAD 470 OHM 0603 1LN,137,
TPS51200DRCR,,93,
C0402C104K4RACTU,,9900,
ERJ-2RKF1003X,,17266,
3852A-286-502AL,,1,
SI2392ADS-T1-GE3,,31,
SM712-TP,,9,
MINISMDC150F/24-2,,1,
MMSZ5244B,,37,
C0603C104M5R,,36,
TC649BEUA,,1,
C0603C103M5R,,3,
C0603C105K3P,,192,
ERJ-3EKF5601V,,236,
ERJ-3EKF1651V,,273,
C0603C475M9P,,79,
ERJ-3EKF1203V,,110,
530480210,,3,
LM3480IM3-5.0NOPB,,5,
C0805C225K3PACTU,,83,
LM4132AMF-1.8/NOPB,,18,
112705,,1,
TLV2401IDR,,5,
ERJ-2RKF10R0X,,224,
BCM53125SKMMLG,,3,
BCM53125SIMMLG,,60,
C1608X5R1A226M080AC,,183,
ERJ-2RKF1001X,,8396,
SPM5012T-3R3M-LR,,31,
AT93C66B-MAHM-T,,25,
DF40C-100DP-0.4V(51),,9,
ERJ-2RKF5760X,,310,
C0402C105K4PAC7867,,2916,
ERJ-2RKF4701X,,211,
ERJ-2RKF1241X,,762,
C0402C101K4GACTU,,60,
C0402C240J3GACTU,,241,
782853680,,55,
GRM188R61A106ME69D,,260,
ERJ-2RKF22R0X,,810,
FQ3225BR-25.000,,20,
ERJ-2RKF3300X,,150,
C0402C100K4GACTU,,141,
APHBM2012LVBDZGKC,,41,
CL10A106KP8NNNC,,100,
MAX6711TEXS+T,,17,
C1206C102KGRACTU,,70,
CL05X105KP5NNNC,,50,
FDC6327C,,90,
ERJ-2RKF3000X,,640,
LNJ037X8ARA,,64,
C1206C102JGRACTU,,20,
RC0402FR-074K99L,,331,
ERJ-2GEJ103X,,8,
DB2441700L,,13,
CL10A106MA8NRNC,,10,
EMK105BJ105KVHF,,44,
T97F107M035HAA,,1,
T491D227K016AT,,2,
F750G108KDC,,5,
T491C106K035AT,,16,
C1608X7S2A104K080AB,,166,
CBR02C120F3GAC,,242,
C2012X5R1A476M125AC,,34,
EMVE630ADA101MJA0G,,10,
RC0402JR-077R5L,,174,
RC0402FR-0775RL,,72,
RC0603FR-073K3L,,266,
ERJ-1GEJ103C,,420,
TPS73218DBVR,,11,
EQCO30T5.2,,3,
SO7320FCDR,,5,
TPS51100DGQR,,9,
TPS54331DDA,,6,
LT4275AIDD#PBF,,4,
LT4321IUF#PBF,,5,
PI6C5922504ZHIEX,,2,
ABM8-114.285MHZ-D2X-T,,6,
DSC1123CI5-125.0000,,6,
ASEMPLV-156.250MHZ-LR-T,,1,
LIS2DH12TR,,9,
MR25H256CDC,,1,
FL5000058Z,,36,
FDN8601,,93,
SMAJ58A-13-F,,70,
B340A-13-F,,21,
SMLP34RGB2W3,,5,
FBMH1608HM102-T,,18,60
1812PS-103KLC,,7,
ST-0402S,,9,
DF13-3P-1.25DSA(50),,2,
LT4275BHDD#PBF,,2,
AMK325ABJ227MM-T,,24,
GRM21BR61A476ME5L,,46,
SI5324C-C-GM,,1,
IS61WV102416BLL-10MLI,,1,
TW-10-03-F-D-320-090,,13,
AT25DF041B-MHNHR-T,,4,
PTB78560CAH,,1,
RC0201FR-0710KL,,200,
MAXM17761ALI#,,1,
APFA2507LQBDSEEZGKC,,30,
0ZCG0050AF2C,,90,
MLZ2012N150LT000,,90,
CSD19502Q5BT,,1,
FMMT491QTA,,40,
MM3Z5V6B,,40,
5.0SMDJ13A,,23,
5.0SMDJ54A,,23,
SDM1100S1F-7,,40,
532610271,,3,
1017504,,1,
CGA5L3X7S2A225K160AB,,10,
CL31A226KAHNNNE,,30,
EEE-FT1E102UP,,1,
UCD1J680MNL1GS,,1,
ERJ-3EKF1601V,,140,
ERJ-3EKF1183V,,140,
ERJ-3EKF1303V,,140,
ERJ-3EKF2433V,,140,
ERJ-3EKF2402V,,140,
ERJ-3EKF5903V,,140,
ERJ-3EKF6982V,,140,
ERJ-6GEY0R00V,,140,
CRCW12103R00FKEAHP,,90,
CRCW121051R0JNEAHP,,90,
5.0SMDJ36A,,150,
ERJ-8GEY0R00V,,188,
ADM3260ARSZ-RL7,,1,
BTS500851TMAATMA1,,2,
CQB75W-24S15,,7,
LTC4359HMS8#PBF,,2,
MCF51JM128VLK,,1,
ROF-78E5.0-0.5SMD-R,,1,
TLV1701AIDBVR,,21,
IPT007N06NATMA1,,2,
STL11N6F7,,84,
SQM120P04-04L_GE3,,2,
DMP510DL-7,,96,
LSY T67B-S1T2+T1U2-1-Z,,96,
LT T673-Q2S1-25-26E6-10-R18-Z,,84,
LS T67D-T2V1-1-1-20-R18-Z,,96,
IHLP2020CZER4R7 M11,,2,
SRP6060FA-8R2M,,21,
MM3Z4V7B,,134,
MM3Z2V4B,,96,
SSA210,,92,
MMSZ5242B,,192,
3413.0332.22,,17,
3413.0331.22,,21,
3413.0328.22,,21,
530470510,,2,
ERJ-3EKF1101V,,184,
SDR03EZPJ100,,246,
ERJ-3EKF3002V,,196,
ERJ-3EKF2003V,,246,
ERJ-3EKF4993V  ,,246,
ERJ-3EKF1072V,,192,
ERJ-3EKF6202V,,196,
ERJ-6CWFR010V,,92,
CL10A105KB8NNNC,,176,
